SNP,CHR,HG37,HG38
rs114138760,1,154898185,154925709
rs3574901+A3:A991,1,155135036,"155,162,560"
rs76763715,1,155205634,"155,235,843"
rs6658353,1,161469054,"161,499,264"
rs11578699,1,171719769,"171,750,629"
rs823118,1,205723572,205754444
rs11557080,1,205737739,205768611
rs4653767,1,226916078,226728377
rs10797576,1,232664611,232528865
rs76116224,2,18147848,17966582
rs2042477,2,96000943,95335195
rs11683001,2,102396963,101780501
rs57891859,2,135464616,134707046
rs1474055,2,169110394,168253884
rs73038319,3,18361759,18320267
rs6808178,3,28705690,28664199
rs12497850,3,48748989,48711556
rs55961674,3,122196892,122478045
rs11707416,3,151108965,151391177
rs1450522,3,161077630,161359842
rs10513789,3,182760073,183042285
rs873786,4,925376,931588
rs34311866,4,951947,958159
rs4698412,4,15737348,15735725
rs34025766,4,17968811,17967188
rs6825004,4,77110365,76189212
rs4101061,4,77147969,76226816
rs6854006,4,77198054,76276901
rs356182,4,90626111,89704960
rs5019538,4,90636630,89715479
rs13117519,4,114369065,113447909
rs62333164,4,170583157,169662006
rs1867598,5,60137959,60842132
rs26431,5,102365794,103030090
rs11950533,5,134199105,134863415
rs4140646,6,27738801,27771022
rs9261484,6,30108683,30140906
rs112485576,6,32578772,32610995
rs12528068,6,72487762,71778059
rs997368,6,112243291,111922088
rs75859381,6,133210361,132889222
rs199351,7,23300049,23260430
rs76949143,7,66009851,66544864
rs1293298,8,11712443,11854934
rs620513,8,16697593,16840084
rs2280104,8,22525980,22668467
rs2086641,8,130901909,17579692
rs13294100,9,17579690,17727067
rs10756907,9,17727065,34046393
rs6476434,9,34046391,15515407
rs896435,10,15557406,102255522
rs10748818,10,104015279,119656173
rs72840788,10,121415685,119776815
rs117896735,10,121536327,10537230
rs7938782,11,10558777,83776234
rs12283611,11,83487277,133917106
rs3802920,11,133787001,40220632
rs76904798,12,40614434,40340400
rs34637584,12,40734202,46025303
rs7134559,12,46419086,122842051
rs10847864,12,123326598,132487182
rs11610045,12,133063768,49353596
rs9568188,13,49927732,97212767
rs4771268,13,97865021,37520065
rs12147950,14,37989270,54882151
rs11158026,14,55348869,74906331
rs3742785,14,75373034,87997920
rs979812,14,88464264,61705186
rs2251086,15,61997385,19266171
rs6497339,16,19277493,28933075
rs2904880,16,28944396,30966478
rs11150601,16,30977799,50702745
rs6500328,16,50736656,52602330
rs3104783,16,52636242,52935514
rs10221156,16,52969426,7452302
rs12600861,17,7355621,42588995
rs12951632,17,40741013,44216969
rs2269906,17,42294337,44357262
rs850738,17,42434630,45666837
rs62053943,17,43744203,45720942
rs117615688,17,43798308,46789439
rs11658976,17,44866805,61840005
rs61169879,17,59917366,78429399
rs666463,17,76425480,33724354
rs1941685,18,31304318,43093415
rs12456492,18,40673380,51157219
rs8087969,18,48683589,2341049
rs55818311,19,2341047,6025395
rs77351827,20,6006041,37480059
rs2248244,21,38852361,156185069
rs35643925,1,156154860,134681219
rs4954162,2,135438789,89685975
rs356228,4,90607126,89744890
rs356203,4,90666041,124774580
rs6875262,5,124110273,31878457
rs9267659,6,31846234,32657825
rs181609621,12,32810759,40528770
rs117073808,12,40922572,40542837
rs141128804,12,40936639,41901977
rs138017112,12,42295779,42141601
rs144755950,12,42535403,45339907
rs17686238,17,43417273,45706862
rs9912362,17,43784228,45855941
rs7221167,17,43933307,46111701
rs7225002,17,44189067,46723580
rs199453,17,44800946,3184040
rs2295545,20,3164686,
